Action Attack
Action Edition
Adamas Machina
Age of the Primes
Alternators
Alternity
AMK MINI
AMK PRO
Animated
Battle Across Time
Beast Hunters
Buzzworthy Bumblebee
Classics
Combiner Wars
Comic Edition
Crossover
Cyber Changers
Cybertron
Dramatic Capture
Earthspark
Extreme Warfare
Fantastic Model
Furai Model
Galactic Odyssey Collection
Gamer Edition
Gamer Geeks
Generations
Generations Selects
Golden Disk Collection
Haslab
Hollywood Rides
Hot Wheels
Hunt for the Decepticons
Infinite Finity
Iron Samurai
Jurrasic Park
Last of the Seekers
Legacy
Legacy Evolution
Legacy Evolution Toxitron Collection
Legacy United
Legacy United Doom ‘n Destruction Collection
Lego
Longyan
Lost Exo Realm
Manga Mech
Marvel Legends
Master Builder
Master Mini
MasterBuilder
Masterpiece
Mattel Creations
MDLX
Mega Action Series
Missing Link
Monster Hunter
MPG
MPM
NanoBotz
Ocular Max
Old Time Series
POP!
Power Core Combiners
Power of the Primes
Pretender
Re:Master
ReAction
Reactivate
Recording Alliance
RED
Reformatted
Regenesis
Reissue
Remaster
ReMix
Rescue Bots Academy
Retro
Retro G1
Reveal the Shield
Robot Paradise
SD Headmaster
Shattered Glass
Star Raiders
Studio Series
Style Generation
Synergenex
Tacticlord
TF2007
TFvGIJ
Thrilling 30
Titanium
Titans Return
Track Fleet
TTGS
ULTIMATES!
Universe
USA Edition
Velocitron Speedia 500 Collection
Vintage Reissue
Void Rivals
Weaponizer
WFC Earthrise
WFC GS
WFC Kingdom
WFC Siege
WFCT
Wreck 'n Doom Collection
Wreck ‘N Rule Collection
